latitude|longitude|name
49.80291|11.26103|Muggendorf, bayern, germany
49.88444|11.33402|Plankenfels, bayern, germany
49.769301|11.406816|Pottenstein, bayern, germany
49.951488|12.27207|Hungenberg, bayern, germany
49.822378|11.191048|Unterleinleiter, bayern, germany
48.917194|11.407995|Bärenthal, bayern, germany
49.480941|10.380764|Illesheim, bayern, germany
49.858043|9.694945|Birkenfeld, bayern, germany
49.622688|10.66875|Rappoldshofen, bayern, germany
48.917194|11.407995|Laufermühle, bayern, germany
49.665635|10.463995|Scheinfeld, bayern, germany
49.799622|10.92576|Röbersdorf, bayern, germany
48.917194|11.407995|Burghaslach Rückhaltebecken, bayern, germany
48.801651|13.5603|Schönbrunn, bayern, germany
49.555969|11.490902|Vorra, bayern, germany
50.074429|10.51928|Römershofen, bayern, germany
49.906284|10.388667|Dingolshausen, bayern, germany
49.903889|10.3025|Brünnstadt, bayern, germany
49.812599|10.28973|Reupelsdorf, bayern, germany
49.788921|10.27903|Atzhausen, bayern, germany
49.66564|10.143285|Marktbreit, bayern, germany
49.792775|9.936395|Würzburg, bayern, germany
50.043505|10.156515|Geldersheim, bayern, germany
49.98579|10.12585|Ettleben, bayern, germany
49.977067|9.96782|Arnstein, bayern, germany
49.591808|9.96384|Sachsenheim, bayern, germany
50.29932|10.46766|Bad Königshofen i. Grabfeld, bayern, germany
50.307709|10.206241|Salz, bayern, germany
48.917194|11.407995|Bad Kissingen Prinzreg.-bau, bayern, germany
48.917194|11.407995|Bad Kissingen Golfplatz, bayern, germany
50.093491|9.73528|Wolfsmünster, bayern, germany
50.357239|10.4257|Gollmuthhausen, bayern, germany
50.478409|10.18462|Nordheim vor der Rhön, bayern, germany
50.377895|10.256829|Unsleben, bayern, germany
50.305558|11.283022|Stockheim, bayern, germany
50.38773|10.22156|Wechterswinkel, bayern, germany
50.39756|10.0352|Unterweißenbrunn, bayern, germany
50.349998|10.18333|Schweinhof, bayern, germany
50.215141|10.2344|Poppenlauer, bayern, germany
50.249077|10.194489|Münnerstadt, bayern, germany
50.338131|9.99632|Waldberg, bayern, germany
50.198886|9.960995|Oberthulba, bayern, germany
50.217941|9.9723|Schlimpfhof, bayern, germany
50.309205|9.787585|Bad Brückenau, bayern, germany
48.917194|11.407995|Bad Brückenau Staatsbad, bayern, germany
50.19319|9.617225|Mittelsinn, bayern, germany
48.917194|11.407995|Jossa, bayern, germany
50.063925|9.470735|Frammersbach, bayern, germany
50.041114|9.517124|Partenstein, bayern, germany
49.870175|9.603835|Hafenlohr, bayern, germany
49.775951|9.65306|Wüstenzell, bayern, germany
49.328789|10.19619|Bockenfeld, bayern, germany
49.218071|10.30519|Archshofen, bayern, germany
48.917194|11.407995|Bad Mergentheim, bayern, germany
48.917194|11.407995|Tauberbischofsheim, bayern, germany
49.517064|10.009167|Bieberehren, bayern, germany
49.727855|12.287965|Hardheim, bayern, germany
49.715957|9.266842|Bürgstadt, bayern, germany
49.667105|9.215332|Weilbach, bayern, germany
48.917194|11.407995|Michelstadt, bayern, germany
48.917194|11.407995|Hainstadt, bayern, germany
49.857498|9.28197|Hobbach, bayern, germany
49.830791|9.20689|Rück, bayern, germany
49.998574|9.182527|Goldbach, bayern, germany
48.917194|11.407995|Harreshausen, bayern, germany
50.086008|9.24513|Schöllkrippen, bayern, germany
50.086317|9.073625|Alzenau, bayern, germany
48.917194|11.407995|Gelnhausen, bayern, germany
48.917194|11.407995|Hanau, bayern, germany
48.917194|11.407995|Bad Vilbel, bayern, germany
49.540138|12.14294|Unterköblitz, bayern, germany
49.327703|12.108496|Schwandorf, bayern, germany
49.240768|12.0826|Münchshofen, bayern, germany
49.126228|11.9427|Heitzenhofen, bayern, germany
49.109185|11.933775|Duggendorf, bayern, germany
49.803145|12.15521|Windischeschenbach, bayern, germany
49.688332|12.04195|Neustadt, bayern, germany
49.67403|12.15633|Weiden, bayern, germany
48.917194|11.407995|Iglersreuth Speicherzufluss, bayern, germany
48.917194|11.407995|Liebenstein Seepegel, bayern, germany
48.917194|11.407995|Liebenstein Werksabfluss, bayern, germany
49.816669|12.18333|Johannisthal, bayern, germany
49.788071|12.32937|Geisleithen, bayern, germany
49.83698|12.04992|Erbendorf, bayern, germany
49.822842|11.88882|Unterbruck, bayern, germany
48.917194|11.407995|Unterbruck Flutmulde, bayern, germany
49.762785|11.942195|Pressath, bayern, germany
49.776199|12.2601|Wildenau, bayern, germany
49.71797|11.911775|Grafenwöhr, bayern, germany
49.542068|12.12856|Kettnitzmühle, bayern, germany
49.616879|12.49152|Pfrentsch, bayern, germany
49.576229|12.35035|Böhmischbruck, bayern, germany
47.599191|11.42364|Trausnitz u. d. Mühle, bayern, germany
49.621639|12.42697|Lohma, bayern, germany
49.419121|12.70402|Höll, bayern, germany
